Reference area,Frequency of observation,Measure,TIME_PERIOD,OBS_VALUE,Unit of measure
Australia,Annual,Policy stringency,1990,0.16666667,0-6 scale
Australia,Annual,Policy stringency,1991,0.16666667,0-6 scale
Australia,Annual,Policy stringency,1992,0.16666667,0-6 scale
Australia,Annual,Policy stringency,1993,0.16666667,0-6 scale
Australia,Annual,Policy stringency,1994,0.16666667,0-6 scale
Australia,Annual,Policy stringency,1995,0.16666667,0-6 scale
Australia,Annual,Policy stringency,1996,0.16666667,0-6 scale
Australia,Annual,Policy stringency,1997,0.16666667,0-6 scale
Australia,Annual,Policy stringency,1998,0.5,0-6 scale
Australia,Annual,Policy stringency,1999,0.5,0-6 scale
Australia,Annual,Policy stringency,2000,0.83333331,0-6 scale
Australia,Annual,Policy stringency,2001,0.8888889,0-6 scale
Australia,Annual,Policy stringency,2002,1.1388888,0-6 scale
Australia,Annual,Policy stringency,2003,1.1388888,0-6 scale
Australia,Annual,Policy stringency,2004,1.4722222,0-6 scale
Australia,Annual,Policy stringency,2005,1.8055556,0-6 scale
Australia,Annual,Policy stringency,2006,2.2222223,0-6 scale
Australia,Annual,Policy stringency,2007,2.2222223,0-6 scale
Australia,Annual,Policy stringency,2008,2.3611112,0-6 scale
Australia,Annual,Policy stringency,2009,2.5277777,0-6 scale
Australia,Annual,Policy stringency,2010,2.8333333,0-6 scale
Australia,Annual,Policy stringency,2011,3,0-6 scale
Australia,Annual,Policy stringency,2012,3.4166667,0-6 scale
Australia,Annual,Policy stringency,2013,3.5277777,0-6 scale
Australia,Annual,Policy stringency,2014,2.6944444,0-6 scale
Australia,Annual,Policy stringency,2015,2.6944444,0-6 scale
Australia,Annual,Policy stringency,2016,2.6944444,0-6 scale
Australia,Annual,Policy stringency,2017,2.75,0-6 scale
Australia,Annual,Policy stringency,2018,2.8611112,0-6 scale
Australia,Annual,Policy stringency,2019,2.8611112,0-6 scale
Australia,Annual,Policy stringency,2020,2.9166667,0-6 scale
France,Annual,Policy stringency,1990,1.4444444,0-6 scale
France,Annual,Policy stringency,1991,1.3333334,0-6 scale
France,Annual,Policy stringency,1992,1.3333334,0-6 scale
France,Annual,Policy stringency,1993,1.3333334,0-6 scale
France,Annual,Policy stringency,1994,1.3888888,0-6 scale
France,Annual,Policy stringency,1995,1.3888888,0-6 scale
France,Annual,Policy stringency,1996,1.4722222,0-6 scale
France,Annual,Policy stringency,1997,1.4722222,0-6 scale
France,Annual,Policy stringency,1998,1.4722222,0-6 scale
France,Annual,Policy stringency,1999,1.6388888,0-6 scale
France,Annual,Policy stringency,2000,1.75,0-6 scale
France,Annual,Policy stringency,2001,1.6666666,0-6 scale
France,Annual,Policy stringency,2002,2,0-6 scale
France,Annual,Policy stringency,2003,2.0833333,0-6 scale
France,Annual,Policy stringency,2004,2.8333333,0-6 scale
France,Annual,Policy stringency,2005,2.8611112,0-6 scale
France,Annual,Policy stringency,2006,3.0833333,0-6 scale
France,Annual,Policy stringency,2007,3.25,0-6 scale
France,Annual,Policy stringency,2008,3.4166667,0-6 scale
France,Annual,Policy stringency,2009,3.6944444,0-6 scale
France,Annual,Policy stringency,2010,3.6111112,0-6 scale
France,Annual,Policy stringency,2011,3.9444444,0-6 scale
France,Annual,Policy stringency,2012,3.9166667,0-6 scale
France,Annual,Policy stringency,2013,3.9166667,0-6 scale
France,Annual,Policy stringency,2014,4.2222223,0-6 scale
France,Annual,Policy stringency,2015,4.0277777,0-6 scale
France,Annual,Policy stringency,2016,3.9166667,0-6 scale
France,Annual,Policy stringency,2017,4.1666665,0-6 scale
France,Annual,Policy stringency,2018,4.5555553,0-6 scale
France,Annual,Policy stringency,2019,4.7222223,0-6 scale
France,Annual,Policy stringency,2020,4.8888888,0-6 scale
