Reference area,Frequency of observation,Measure,Unit of measure,Price base,TIME_PERIOD,OBS_VALUE,BASE_PER
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,1995,703697.293,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,1996,731234.708,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,1997,765333.752,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,1998,803812.315,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,1999,835333.839,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2000,852250.231,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2001,886166.259,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2002,913555.548,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2003,952146.736,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2004,982179.04,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2005,1009241.472,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2006,1047323.399,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2007,1084883.212,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2008,1105415.232,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2009,1129955.232,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2010,1157154.161,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2011,1202476.527,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2012,1233767.292,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2013,1265787.058,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2014,1293509.938,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2015,1329202.869,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2016,1359503.269,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2017,1398636.159,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2018,1429008.173,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2019,1427299.212,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2020,1457431.898,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2021,1519261.779,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2022,1571554.65,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2023,1594045.366,2020
Australia,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2024,1611529.779,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,1995,2423985.114,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,1996,2457850.122,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,1997,2519961.51,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,1998,2606965.558,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,1999,2695584.349,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2000,2807208.496,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2001,2860530.496,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2002,2891073.818,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2003,2919054.416,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2004,3002780.21,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2005,3059489.691,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2006,3142526.214,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2007,3222047.271,2020
France,Annual,Gross domestic product,"US dollars, PPP converted",Constant prices,2008,3234296.574,2020
