Country,Year,EPS_Index
Australia,1995,0.16666667
Australia,1996,0.16666667
Australia,1997,0.16666667
Australia,1998,0.5
Australia,1999,0.5
Australia,2000,0.83333331
Australia,2001,0.8888889
Australia,2002,1.1388888
Australia,2003,1.1388888
Australia,2004,1.4722222
Australia,2005,1.8055556
Australia,2006,2.2222223
Australia,2007,2.2222223
Australia,2008,2.3611112
Australia,2009,2.5277777
Australia,2010,2.8333333
Australia,2011,3
Australia,2012,3.4166667
Australia,2013,3.5277777
Australia,2014,2.6944444
Australia,2015,2.6944444
Australia,2016,2.6944444
Australia,2017,2.75
Australia,2018,2.8611112
Australia,2019,2.8611112
Australia,2020,2.9166667
Austria,1995,1.611111
Austria,1996,1.611111
Austria,1997,1.611111
Austria,1998,1.611111
Austria,1999,1.611111
Austria,2000,1.8888888
Austria,2001,1.8888888
Austria,2002,1.8888888
Austria,2003,2.1944444
Austria,2004,2.1944444
Austria,2005,2.3055556
Austria,2006,2.5277777
Austria,2007,2.25
Austria,2008,2.6666667
Austria,2009,2.9444444
Austria,2010,3.0833333
Austria,2011,3.0555556
Austria,2012,2.9444444
Austria,2013,3.2777777
Austria,2014,3.1111112
Austria,2015,2.9444444
Austria,2016,2.9444444
Austria,2017,2.9444444
Austria,2018,3.0833333
Austria,2019,3.1388888
Austria,2020,3.3055556
Belgium,1995,1.1111112
Belgium,1996,1.1111112
Belgium,1997,1.1111112
Belgium,1998,1.2777778
Belgium,1999,1.1111112
Belgium,2000,1.5555556
Belgium,2001,1.5555556
Belgium,2002,1.6111112
Belgium,2003,1.5555556
Belgium,2004,2.4722223
Belgium,2005,2.5833333
Belgium,2006,2.6388888
Belgium,2007,2.3055556
Belgium,2008,2.6388888
Belgium,2009,2.6666667
Belgium,2010,2.5555556
Belgium,2011,2.9444444
Belgium,2012,3.0555556
Belgium,2013,2.9444444
Belgium,2014,2.9444444
Belgium,2015,2.8333333
Belgium,2016,2.8888888
Belgium,2017,2.9444444
Belgium,2018,3
Belgium,2019,3.2222223
Belgium,2020,3.4444444
Canada,1995,0.72222221
Canada,1996,0.5
Canada,1997,0.83333331
Canada,1998,0.83333331
Canada,1999,0.83333331
Canada,2000,0.72222221
Canada,2001,0.72222221
Canada,2002,0.72222221
Canada,2003,1.8888888
Canada,2004,1.8888888
Canada,2005,2.0555556
Canada,2006,2.4722223
Canada,2007,2.8611112
Canada,2008,2.9444444
Canada,2009,3.1944444
Canada,2010,3.6111112
Canada,2011,3.6111112
Canada,2012,3.4444444
Canada,2013,3.4444444
Canada,2014,3.1944444
Canada,2015,2.5277777
Canada,2016,2.3611112
Canada,2017,2.5833333
Canada,2018,2.6944444
Canada,2019,2.6388888
Canada,2020,3.0277777
Chile,1995,0
Chile,1996,0
Chile,1997,0
Chile,1998,0
Chile,1999,0
Chile,2000,0.11111111
Chile,2001,0.11111111
Chile,2002,0.16666667
Chile,2003,0.19444445
Chile,2004,0.19444445
Chile,2005,0.44444445
Chile,2006,0.52777779
Chile,2007,0.52777779
Chile,2008,0.52777779
Chile,2009,0.52777779
Chile,2010,0.58333331
Chile,2011,0.58333331
Chile,2012,1.9166666
Chile,2013,1.9166666
Chile,2014,1.9166666
Chile,2015,1.9722222
Chile,2016,1.9722222
Chile,2017,2.0277777
Chile,2018,2.0277777
Chile,2019,2.0277777
Chile,2020,2.0277777
Czechia,1995,0.80555552
Czechia,1996,0.80555552
Czechia,1997,1.3333334
Czechia,1998,1.3333334
Czechia,1999,1.3333334
Czechia,2000,1.4166666
Czechia,2001,1.4166666
Czechia,2002,2.1666667
Czechia,2003,2.4166667
Czechia,2004,2.4166667
Czechia,2005,2.4166667
Czechia,2006,2.7222223
Czechia,2007,2.6388888
Czechia,2008,3.0833333
Czechia,2009,3.1944444
Czechia,2010,3.1111112
Czechia,2011,3.1111112
Czechia,2012,3.25
Czechia,2013,3
Czechia,2014,2.5
Czechia,2015,2.5555556
Czechia,2016,2.7222223
Czechia,2017,2.7222223
Czechia,2018,2.8888888
Czechia,2019,3.1111112
Czechia,2020,2.9444444
Denmark,1995,1.1666666
Denmark,1996,1.5
Denmark,1997,1.5
Denmark,1998,1.4444444
Denmark,1999,1.5555556
Denmark,2000,2
Denmark,2001,2
Denmark,2002,1.888889
Denmark,2003,2.6388888
Denmark,2004,2.8055556
Denmark,2005,3.0277777
Denmark,2006,3.1388888
Denmark,2007,3.1388888
Denmark,2008,3.1944444
Denmark,2009,3.4166667
Denmark,2010,4.0833335
Denmark,2011,4.2222223
Denmark,2012,3.8888888
Denmark,2013,4.0555553
Denmark,2014,4.1111112
Denmark,2015,4.0277777
Denmark,2016,3.9444444
Denmark,2017,4.0277777
Denmark,2018,3.7777777
Denmark,2019,3.6666667
Denmark,2020,3.7222223
Estonia,1995,0.083333336
Estonia,1996,0.19444445
Estonia,1997,0.19444445
Estonia,1998,0.19444445
Estonia,1999,0.3611111
Estonia,2000,1.5
Estonia,2001,2
Estonia,2002,2
Estonia,2003,2.1666667
Estonia,2004,2.9166667
Estonia,2005,3.1944444
Estonia,2006,3.3055556
Estonia,2007,3.1388888
Estonia,2008,3.4722223
Estonia,2009,3.5
Estonia,2010,3.5555556
Estonia,2011,3.0555556
Estonia,2012,2.5277777
Estonia,2013,3.6111112
Estonia,2014,3.7222223
Estonia,2015,3.7222223
Estonia,2016,3.7222223
Estonia,2017,3.7777777
Estonia,2018,3.3333333
Estonia,2019,3.1666667
Estonia,2020,3.2777777
Finland,1995,2
Finland,1996,1.8333334
Finland,1997,2.2222223
Finland,1998,2.0555556
Finland,1999,2.0555556
Finland,2000,2.0833333
Finland,2001,2.0833333
Finland,2002,2.5833333
Finland,2003,2.4166667
Finland,2004,2.6388888
Finland,2005,2.75
Finland,2006,2.9722223
Finland,2007,2.9722223
Finland,2008,3.1944444
Finland,2009,3.1666667
Finland,2010,3.1111112
Finland,2011,3.75
Finland,2012,3.6388888
Finland,2013,3.6388888
Finland,2014,3.6944444
Finland,2015,3.8611112
Finland,2016,3.8333333
Finland,2017,3.8333333
Finland,2018,3.9166667
Finland,2019,3.8055556
Finland,2020,4.1111112
France,1995,1.3888888
France,1996,1.4722222
France,1997,1.4722222
France,1998,1.4722222
France,1999,1.6388888
France,2000,1.75
France,2001,1.6666666
France,2002,2
France,2003,2.0833333
France,2004,2.8333333
France,2005,2.8611112
France,2006,3.0833333
France,2007,3.25
France,2008,3.4166667
France,2009,3.6944444
France,2010,3.6111112
France,2011,3.9444444
France,2012,3.9166667
France,2013,3.9166667
France,2014,4.2222223
France,2015,4.0277777
France,2016,3.9166667
France,2017,4.1666665
France,2018,4.5555553
France,2019,4.7222223
France,2020,4.8888888
Germany,1995,1.5
Germany,1996,1.6944444
Germany,1997,1.4444444
Germany,1998,1.5833334
Germany,1999,1.5
