Country,Year,GDP
Australia,1996,3.913247255
Australia,1997,4.663214646
Australia,1998,5.027684053
Australia,1999,3.921502994
Australia,2000,2.025105558
Australia,2001,3.979585662
Australia,2002,3.090761888
Australia,2003,4.224284783
Australia,2004,3.154167616
Australia,2005,2.755346113
Australia,2006,3.773321654
Australia,2007,3.586266958
Australia,2008,1.892555786
Australia,2009,2.219980265
Australia,2010,2.40708023
Australia,2011,3.916709418
Australia,2012,2.602193415
Australia,2013,2.595284071
Australia,2014,2.190169336
Australia,2015,2.759385912
Australia,2016,2.27959183
Australia,2017,2.878469724
Australia,2018,2.17154503
Australia,2019,-0.119590709
Australia,2020,2.111168124
Australia,2021,4.242385602
Australia,2022,3.441992139
Australia,2023,1.431112561
Austria,1996,2.215766961
Austria,1997,2.145835029
Austria,1998,3.492880226
Austria,1999,3.761924252
Austria,2000,3.189522837
Austria,2001,1.316987746
Austria,2002,1.484368683
Austria,2003,1.141565109
Austria,2004,2.565255306
Austria,2005,2.320365191
Austria,2006,3.269336114
Austria,2007,3.775224317
Austria,2008,1.453305802
Austria,2009,-3.586264676
Austria,2010,1.808982354
Austria,2011,2.927468016
Austria,2012,0.628246174
Austria,2013,-0.2507263
Austria,2014,0.755798766
Austria,2015,1.303523278
Austria,2016,2.117219605
Austria,2017,2.272250058
Austria,2018,2.484220998
Austria,2019,1.754976341
Austria,2020,-6.318255109
Austria,2021,4.795328838
Austria,2022,5.277894419
Austria,2023,-0.954962453
Austria,2024,-1.173540431
Belgium,1996,1.321432142
Belgium,1997,3.793671662
Belgium,1998,1.961832346
Belgium,1999,3.542718078
Belgium,2000,3.716705113
Belgium,2001,1.099603513
Belgium,2002,1.706894409
Belgium,2003,1.03795515
Belgium,2004,3.571206699
Belgium,2005,2.321737865
Belgium,2006,2.552340989
Belgium,2007,3.67692455
Belgium,2008,0.446905182
Belgium,2009,-1.906441063
Belgium,2010,2.710311455
Belgium,2011,1.931154977
Belgium,2012,0.215803712
Belgium,2013,0.30549456
Belgium,2014,1.765540269
Belgium,2015,1.4741644
Belgium,2016,1.19350277
Belgium,2017,1.474467606
Belgium,2018,1.877968522
Belgium,2019,2.442890033
Belgium,2020,-4.792983938
Belgium,2021,6.202553976
Belgium,2022,4.233431944
Belgium,2023,1.251700502
Belgium,2024,0.995630163
Canada,1996,1.688961184
Canada,1997,4.280166807
Canada,1998,3.892886531
Canada,1999,5.141003583
Canada,2000,5.138539143
Canada,2001,1.875098144
Canada,2002,2.999255318
Canada,2003,1.806385157
Canada,2004,3.092363827
Canada,2005,3.210454352
Canada,2006,2.63794379
Canada,2007,2.049904584
Canada,2008,0.995406376
Canada,2009,-2.915086287
Canada,2010,3.090806391
Canada,2011,3.137194367
Canada,2012,1.755661339
Canada,2013,2.325813578
Canada,2014,2.873466742
Canada,2015,0.649971006
Canada,2016,1.038550913
Canada,2017,3.033834959
Canada,2018,2.742963424
Canada,2019,1.908431899
Canada,2020,-5.038233391
Canada,2021,5.950528048
Canada,2022,4.189036236
Canada,2023,1.528745503
Canada,2024,1.528081142
Chile,1996,7.413505975
Chile,1997,7.391739451
Chile,1998,4.1808864
Chile,1999,-0.273631465
Chile,2000,4.971621497
Chile,2001,3.154035158
Chile,2002,3.202799131
Chile,2003,4.723245222
Chile,2004,6.674254298
Chile,2005,5.837045498
Chile,2006,6.049991017
Chile,2007,5.16823078
Chile,2008,3.789392885
Chile,2009,-1.118037188
Chile,2010,5.851650892
Chile,2011,6.223896918
Chile,2012,6.155340015
Chile,2013,3.308508179
Chile,2014,1.7926495
Chile,2015,2.151942457
Chile,2016,1.753038753
Chile,2017,1.357695487
Chile,2018,3.990029331
Chile,2019,0.634367624
Chile,2020,-6.143474776
Chile,2021,11.333957
Chile,2022,2.058740046
Chile,2023,0.218780676
Colombia,1996,1.588051903
Colombia,1997,3.194517145
Colombia,1998,0.604256491
Colombia,1999,-5.190991299
Colombia,2000,2.56919773
Colombia,2001,1.677928151
Colombia,2002,2.503863089
Colombia,2003,3.918507467
Colombia,2004,5.332941672
Colombia,2005,4.706559004
Colombia,2006,6.716868591
Colombia,2007,6.738194706
Colombia,2008,3.283446242
Colombia,2009,1.139648639
Colombia,2010,4.494658967
Colombia,2011,6.947891888
Colombia,2012,3.912635806
Colombia,2013,5.133993539
Colombia,2014,4.49903004
Colombia,2015,2.955901323
Colombia,2016,2.087382449
Colombia,2017,1.359360874
Colombia,2018,2.564324373
Colombia,2019,3.186855378
Colombia,2020,-7.185914203
Colombia,2021,10.80119825
Colombia,2022,7.288883909
Colombia,2023,0.610430134
Costa Rica,1996,1.350458745
Costa Rica,1997,5.476165395
Costa Rica,1998,7.155309483
Costa Rica,1999,4.214809927
Costa Rica,2000,3.868718003
Costa Rica,2001,3.491170388
Costa Rica,2002,3.416876461
Costa Rica,2003,4.317179361
Costa Rica,2004,4.424600619
Costa Rica,2005,3.976665207
Costa Rica,2006,7.32669674
Costa Rica,2007,8.215130803
Costa Rica,2008,4.738175843
Costa Rica,2009,-0.873456636
Costa Rica,2010,5.360343618
Costa Rica,2011,4.403159942
Costa Rica,2012,4.882592414
Costa Rica,2013,2.494765317
Costa Rica,2014,3.542110556
Costa Rica,2015,3.652080566
Costa Rica,2016,4.204323529
Costa Rica,2017,4.157698824
Costa Rica,2018,2.61590408
Costa Rica,2019,2.417512411
Costa Rica,2020,-4.273354916
Costa Rica,2021,7.935762278
Costa Rica,2022,4.551492481
Costa Rica,2023,5.111921519
Czechia,1996,4.168584302
Czechia,1997,-0.595838635
Czechia,1998,-0.393150159
Czechia,1999,1.3783608
Czechia,2000,4.010669552
Czechia,2001,2.917219382
Czechia,2002,1.513459564
Czechia,2003,3.300837026
Czechia,2004,4.736339525
Czechia,2005,6.375029004
Czechia,2006,6.623172923
Czechia,2007,5.488825829
Czechia,2008,2.612268158
Czechia,2009,-4.798324193
Czechia,2010,2.714665056
Czechia,2011,1.772380858
Czechia,2012,-0.770668024
Czechia,2013,-0.041812397
Czechia,2014,2.245212016
Czechia,2015,4.958758568
Czechia,2016,2.580870219
Czechia,2017,5.173565235
Czechia,2018,2.83030592
Czechia,2019,3.565776436
Czechia,2020,-5.304879381
Czechia,2021,4.029018124
Czechia,2022,2.847170671
Czechia,2023,-0.055261786
Czechia,2024,1.133622168
Denmark,1996,2.89575045
Denmark,1997,3.168481476
Denmark,1998,2.326302799
Denmark,1999,2.967305171
Denmark,2000,3.724009004
Denmark,2001,0.950032275
Denmark,2002,0.456530145
Denmark,2003,0.441090824
Denmark,2004,2.776352091
Denmark,2005,2.359608818
Denmark,2006,3.816487461
Denmark,2007,0.987173876
Denmark,2008,-0.417178517
Denmark,2009,-4.974478999
Denmark,2010,1.582897254
Denmark,2011,1.310803774
Denmark,2012,-0.005432522
Denmark,2013,1.392673637
Denmark,2014,1.277999543
Denmark,2015,2.104414664
Denmark,2016,3.073045536
Denmark,2017,3.056477377
Denmark,2018,1.860007402
Denmark,2019,1.711400877
Denmark,2020,-1.780105926
Denmark,2021,7.382066193
Denmark,2022,1.54017313
Denmark,2023,2.495184347
Denmark,2024,3.566273148
Estonia,1996,4.943017874
Estonia,1997,13.05001174
Estonia,1998,4.339834949
Estonia,1999,-0.425026401
Estonia,2000,10.08763599
Estonia,2001,5.880745943
Estonia,2002,6.933000657
Estonia,2003,7.596302603
Estonia,2004,6.800699893
Estonia,2005,9.523052075
Estonia,2006,9.762571906
Estonia,2007,7.570920866
Estonia,2008,-5.125313386
Estonia,2009,-14.63022096
Estonia,2010,2.449747798
Estonia,2011,7.606976834
Estonia,2012,3.672019807
Estonia,2013,1.756492008
Estonia,2014,3.322789773
Estonia,2015,1.838155156
Estonia,2016,3.093020171
Estonia,2017,5.634670707
Estonia,2018,3.699696101
Estonia,2019,3.726650301
Estonia,2020,-2.883809805
Estonia,2021,7.154448701
Estonia,2022,0.060429888
Estonia,2023,-3.023038126
Estonia,2024,-0.261006155
Finland,1996,3.66265765
Finland,1997,6.397700585
Finland,1998,5.454269962
Finland,1999,4.389280879
Finland,2000,5.753737854
Finland,2001,2.640261886
Finland,2002,1.687326371
Finland,2003,2.011799821
Finland,2004,4.005379311
Finland,2005,2.777309574
Finland,2006,4.019573189
Finland,2007,5.312801707
Finland,2008,0.784431139
Finland,2009,-8.076030868
Finland,2010,3.168287573
Finland,2011,2.390394794
Finland,2012,-1.522840248
Finland,2013,-0.979741067
Finland,2014,-0.478068351
Finland,2015,0.466503762
Finland,2016,2.571933941
Finland,2017,3.30337047
Finland,2018,1.192977685
Finland,2019,1.349738436
Finland,2020,-2.491036305
Finland,2021,2.676346742
Finland,2022,0.763041367
Finland,2023,-0.946904762
Finland,2024,-0.154214623
France,1996,1.397079867
France,1997,2.527061656
France,1998,3.452594322
France,1999,3.399308086
France,2000,4.140999967
France,2001,1.899467036
France,2002,1.067750267
France,2003,0.967827173
France,2004,2.868250538
France,2005,1.88856583
France,2006,2.714064481
France,2007,2.530481898
France,2008,0.380171424
France,2009,-2.824551519
France,2010,2.000324759
France,2011,2.43757654
France,2012,0.183835264
France,2013,0.78175642
France,2014,0.997832969
France,2015,1.066754734
France,2016,0.860031067
France,2017,2.083614888
France,2018,1.645908701
France,2019,2.027446465
France,2020,-7.440645888
France,2021,6.882337819
France,2022,2.570840488
France,2023,0.936487526
France,2024,1.166138501
Germany,1996,1.038155831
Germany,1997,1.854817256
Germany,1998,2.09616139
Germany,1999,2.130116709
Germany,2000,2.877245954
Germany,2001,1.636540992
