Reference area,Frequency of observation,Measure,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,OBS_VALUE
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,1995,68.70159758
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1996,3.466027264
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,1996,71.08281368
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1997,3.436098463
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,1997,73.52528915
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1998,3.23559026
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,1998,75.90426625
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1999,0.871901205
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,1999,76.56607646
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2000,1.117568554
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2000,77.42175485
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2001,3.466835939
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2001,80.10584007
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2002,1.494908099
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2002,81.30334876
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2003,2.319261812
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2003,83.18898628
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2004,-0.335046098
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2004,82.91026483
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2005,0.3727238
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2005,83.21929112
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2006,0.510179478
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2006,83.64385887
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2007,1.139132657
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2007,84.59667338
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2008,3.470362834
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2008,87.53248489
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2009,-0.818822687
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2009,86.81574904
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2010,1.593257764
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2010,88.19894771
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2011,1.17522791
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2011,89.23548636
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2012,2.412255635
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2012,91.3880744
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2013,1.733739179
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2013,92.97250525
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2014,0.459513877
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2014,93.39972682
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2015,2.52725483
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2015,95.76017593
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2016,-0.287616378
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2016,95.48475398
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2017,96.57012067
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2017,1.136691092
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2018,0.084915639
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2018,96.6521238
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2019,1.564043077
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2019,98.16380466
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2020,1.870542153
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2020,100
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2021,1.515753741
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2021,101.5157537
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2022,-3.744336092
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2022,97.71466273
Australia,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2023,0.095469965
Australia,Annual,GDP per hour worked,Index,Q,Constant prices,2023,97.80795089
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,1995,72.87120532
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,1996,72.87404256
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1996,0.003893504
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,1997,73.54799433
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1997,0.924817321
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,1998,76.2571544
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1998,3.683526782
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,1999,77.75832748
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,1999,1.96856688
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2000,79.48265335
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2000,2.217544949
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2001,80.5324573
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2001,1.320796307
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2002,81.90155427
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2002,1.70005612
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2003,82.74593405
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2003,1.030969182
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2004,84.18500479
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2004,1.739143747
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2005,86.3134948
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2005,2.528348154
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2006,88.416354
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2006,2.436304083
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2007,90.72645679
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2007,2.612755086
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2008,90.72553087
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2008,-0.001020559
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2009,90.25837812
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2009,-0.514907711
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2010,91.55464327
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2010,1.436171562
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2011,92.49398721
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2011,1.025992675
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2012,93.43893318
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2012,1.021629619
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2013,93.70338172
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2013,0.283017514
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2014,94.09727706
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2014,0.420364061
Austria,Annual,GDP per hour worked,Index,Q,Constant prices,2015,95.70295722
Austria,Annual,GDP per hour worked,Percent per annum,Q,Constant prices,2015,1.706404484
