STRUCTURE_NAME,Reference area,Frequency of observation,Measure,Unit of measure,Price base,TIME_PERIOD,OBS_VALUE,BASE_PER
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,1995,45.86808823,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,1996,47.45788867,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,1997,49.08858846,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,1998,50.67689404,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,1999,51.11874649,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2000,51.69003353,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2001,53.48204219,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2002,54.28154957,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2003,55.54048082,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2004,55.3543946,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2005,55.56071361,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2006,55.84417296,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2007,56.48031218,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2008,58.44038394,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2009,57.96186082,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2010,58.88534266,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2011,59.57737965,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2012,61.01453834,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2013,62.0723713,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2014,62.35760246,2020
Productivity levels,Australia,Annual,GDP per hour worked,"US dollars per hour, PPP converted",Constant prices,2015,63.93353798,2020
