,SPY,AAPL,AMD,TSLA,AMZN,F,CCL,NVDA,T,META,INTC,BAC,AAL,GOOGL,MSFT,CMCSA,Date
0,230.5574341,37.84503937,18.82999992,20.67466736,76.95649719,6.185101032,47.31748962,33.79047394,14.69875526,135.5361938,40.9406929,22.09975624,31.96315956,52.73400116,95.84603119,30.58836555,02/01/2019
1,225.0557098,34.07538986,17.04999924,20.02400017,75.01399994,6.091149807,44.96348572,31.74895477,14.71865654,131.6003723,38.6884346,21.74559593,29.58166313,51.27349854,92.3200531,30.82865524,03/01/2019
2,232.5941162,35.53004456,19,21.17933273,78.76950073,6.326026917,47.50733185,33.78303528,15.0968256,137.8037872,41.06244278,22.64870834,31.5301609,53.9034996,96.61376953,31.86992645,04/01/2019
3,234.4280396,35.4509697,20.56999969,22.3306675,81.47550201,6.490440845,48.06735611,35.57153702,15.37050056,137.9036865,41.25375748,22.63100243,32.42567444,53.79600143,96.73697662,31.53174019,07/01/2019
4,236.6305695,36.1267662,20.75,22.35666656,82.82900238,6.553075314,49.26335144,34.68596268,15.56456089,142.3789368,41.51462936,22.58673477,31.90411377,54.26850128,97.43839264,31.78983116,08/01/2019
5,237.7364502,36.74026489,20.19000053,22.56866646,82.97100067,6.827097416,49.34877777,35.36813354,15.30785179,144.0771332,41.74942017,22.80808449,32.88819504,54.08250046,98.83171082,32.09241867,09/01/2019
6,238.5750885,36.85769653,19.73999977,22.99799919,82.81099701,6.787952423,49.63353729,36.02548599,15.46042633,144.0471649,42.22769165,22.78152084,31.5301609,53.94150162,98.19667816,31.87881851,10/01/2019
7,238.6672516,36.49582291,20.27000046,23.15066719,82.02799988,6.905389786,49.73794937,36.91849899,15.69945049,143.6475983,42.54945755,23.04714584,31.29397774,53.2234993,97.43839264,31.70973206,11/01/2019
8,237.2111359,35.94704819,20.22999954,22.29333305,80.86049652,7.038487434,49.54810333,37.31785965,15.57230663,145.2359009,42.04507828,23.34818268,31.20541,52.57550049,96.72753143,31.83432198,14/01/2019
9,239.9297943,36.68275833,20.37999916,22.96199989,83.72799683,6.921049595,50.23152542,37.17646027,15.56214046,148.7921295,42.26248932,23.50755882,31.58920288,54.32550049,99.53314972,31.88772392,15/01/2019
10,240.5103912,37.13089752,19.72999954,23.06999969,84.18900299,6.490440845,50.05118561,36.92096329,15.54179668,147.3836212,41.85377502,25.18983078,32.31742859,54.4754982,99.88384247,31.95002174,16/01/2019
11,242.335083,37.35137177,20.25,23.15399933,84.66100311,6.545244694,50.82003403,37.63537598,15.58248043,148.1428223,42.14944839,25.66794395,33.0456543,54.95600128,100.5852432,31.95892334,17/01/2019
12,245.5605469,37.58143616,20.77000046,20.15066719,84.80999756,6.717488766,52.09195709,38.92776108,15.74522114,149.8809662,42.77554703,25.94242287,33.42944717,55.36500168,102.092308,32.22591782,18/01/2019
13,242.2429199,36.73788071,19.76000023,19.9279995,81.60849762,6.654854774,51.75024414,36.90361786,15.55196762,147.4136047,41.97552109,25.75649452,32.21902084,53.93149948,100.1681824,31.12234879,22/01/2019
14,242.7497711,36.88645935,19.79999924,19.17266655,82.00099945,6.529586792,51.5129509,37.03259659,15.70962238,144.1470642,41.68854904,25.60597229,31.14636421,54.22050095,101.144455,32.83109283,23/01/2019
15,242.8787994,36.59408951,20.85000038,19.43400002,82.74649811,6.733145714,52.22484589,39.15348816,15.56214046,145.6754456,43.27122116,25.74763489,33.12438202,54.20000076,100.6610794,32.25260925,24/01/2019
16,244.9339142,37.80670166,21.93000031,19.80266762,83.52850342,6.93670845,52.68995285,39.72650909,15.59264851,148.852066,40.90591049,26.19034386,34.42337418,55.07550049,101.5804672,31.84321785,25/01/2019
17,243.0723267,37.45681381,20.18000031,19.75866699,81.89450073,6.780122757,53.53473663,34.23450089,15.59773636,147.3137054,40.61893463,26.23461151,35.98807526,53.99300003,99.59947968,31.47833061,28/01/2019
18,242.7497711,37.06858826,19.25,19.8306675,79.69400024,6.858415127,53.40185165,32.64445114,15.61299133,144.0371704,40.47111511,26.02211189,35.71253204,53.50299835,97.57110596,32.11022186,29/01/2019
19,246.5927429,39.60165787,23.09000015,20.58466721,83.52149963,6.938071251,54.51241302,34.08071136,14.9366045,150.2605743,41.34070587,25.73878288,35.76173782,54.8995018,100.8316803,31.53174019,30/01/2019
20,248.7583466,39.88683701,24.40999985,20.46800041,85.93650055,7.00976181,54.65478897,35.65835571,15.28750896,166.5133362,40.9754715,25.2075367,35.20080185,56.29449844,98.98339844,32.54629898,31/01/2019
21,248.8782196,39.90600586,24.51000023,20.81399918,81.31150055,6.946036816,54.7781868,35.9014473,15.25699806,165.5343781,42.37553024,25.12785149,35.53539658,55.93099976,97.41944122,32.74209595,01/02/2019
22,250.6291351,41.03952789,24.12999916,20.85933304,81.66549683,6.930105686,55.22430801,37.00531387,15.05865955,169.0706177,42.80163574,25.57055283,36.19473648,57.07099915,100.2250595,32.72429276,04/02/2019
23,251.6797333,41.74169922,23.30999947,21.42333221,82.94049835,6.96993351,55.5850029,37.19631195,15.06882668,170.9785919,43.48862076,25.48201752,36.44142532,57.59349823,101.6278915,33.06248856,05/02/2019
24,251.3479767,41.756073,23.26000023,21.14800072,82.01300049,6.946036816,55.34770584,37.9528923,15.03322887,170.3093109,43.66801834,25.43774223,36.27367401,56.14450073,100.4999313,33.08028412,06/02/2019
25,248.9519501,40.96525192,22.67000008,20.50066757,80.71849823,6.619445801,54.06628799,36.56873322,14.97728729,166.2036591,43.08168411,25.0038929,35.69147873,55.29550171,99.77959442,33.53416824,07/02/2019
26,249.2560425,41.01337433,23.04999924,20.38666725,79.41100311,6.683172226,53.75305557,36.754776,15.02814007,167.1526489,42.74039459,25.04816628,35.52372742,55.11899948,100.1587067,33.46297836,08/02/2019
27,249.3943024,40.7775116,22.95999908,20.8560009,79.55000305,6.635377407,53.93339539,36.32810211,15.10951138,165.6142731,42.679142,25.15441322,36.10591888,55.10599899,99.76061249,32.92898941,11/02/2019
28,252.6013641,41.12889481,22.81999969,20.78733253,81.90049744,6.738931179,53.69609451,37.49894333,15.16037083,164.8650665,43.76428223,25.4023304,35.27703476,56.37900162,101.3151016,33.14258957,12/02/2019
29,253.4214935,40.95801544,22.85000038,20.54466629,82,6.699102402,54.15171432,37.92313385,15.1756258,163.8961182,44.16683578,25.41118622,35.73094559,56.43149948,101.2392578,32.95569229,13/02/2019
30,252.859314,41.10723877,23.12999916,20.25133324,81.13249969,6.707068443,54.19917679,38.33242035,15.15019608,163.7762299,44.46436691,25.1367054,35.63227463,56.45999908,101.3245697,33.16038513,14/02/2019
31,255.6148529,41.01578903,23.68000031,20.5253334,80.39749908,6.802656651,54.34155655,39.02946091,15.49602604,162.327774,45.20821381,25.77419853,34.58629227,55.98149872,102.5757065,33.61427307,15/02/2019
32,256.0571899,41.13852692,23.95000076,20.37599945,81.3789978,7.033658504,55.33820724,38.85582733,15.57739353,162.117981,44.98067474,25.79190254,35.00074005,56.32550049,102.5283127,33.41847992,19/02/2019
33,256.5732727,41.40327454,23.95000076,20.17066765,81.10500336,7.121281147,55.86026764,39.32962036,15.6892767,162.3876953,44.97193527,26.03982162,34.59616852,56.02949905,101.9952621,33.63206863,20/02/2019
34,255.660965,41.16981125,23.92000008,19.41533279,80.97200012,6.938071251,55.78368378,38.64001465,15.67911053,159.8703613,44.98942947,25.93357086,34.51721954,55.21049881,104.1465454,34.23724747,21/02/2019
35,257.2459717,41.62950516,24.36000061,19.64733315,81.57800293,6.938071251,56.310215,39.48838043,15.84184933,161.7184143,45.93454742,25.74763489,35.02047729,55.82799911,105.6315002,34.36184311,22/02/2019
36,257.5961914,41.93275452,24.70999908,19.91799927,81.65000153,6.977900028,56.0708847,39.36434937,15.83167744,164.4455109,46.46836853,25.91586113,35.42505264,55.86650085,106.2216644,34.3262558,25/02/2019
37,257.4119873,41.95682907,24.20999908,19.85733223,81.81999969,7.073487759,55.76453781,38.96993256,15.87744808,163.9560394,46.58213425,25.93357086,35.77042007,56.1004982,106.9546356,34.53094482,26/02/2019
38,257.3012695,42.08678055,23.47999954,20.98266792,82.05449677,6.993830681,55.21885681,38.55070877,15.79607964,162.6374359,46.59088898,26.14606857,35.21783066,56.14450073,106.7737732,34.2906456,27/02/2019
39,256.8221436,41.67282486,23.53000069,21.32533264,81.99150085,6.985865593,55.29544067,38.30488968,15.8265934,161.2788849,46.34585571,25.87908936,35.15862656,56.32749939,106.6405029,34.41524506,28/02/2019
40,258.4255981,42.11084747,23.68000031,19.65266609,83.58650208,7.001796722,55.37203217,38.84868622,15.67402077,162.1080017,46.64338303,26.08377457,34.18171692,57.42599869,107.1164551,34.7979393,01/03/2019
41,257.4855957,42.32263947,23.37000084,19.02400017,84.8085022,7.017728806,54.14665222,38.93063736,15.24682236,167.1925964,47.20346832,25.83459473,33.27389526,57.67100143,106.8594208,34.46863556,04/03/2019
42,257.135437,42.2456398,23.5,18.43600082,84.62149811,6.985865593,54.67318344,38.86607742,15.23156929,171.078476,46.97593689,25.87908936,32.79037476,58.45949936,106.3263702,34.45975494,05/03/2019
43,255.5779724,42.00255203,22.40999985,18.41600037,83.44750214,6.834517956,53.75414276,37.75611496,15.16037083,172.3271484,46.33710098,25.66550827,32.32659149,58.24700165,106.3739624,34.36184311,06/03/2019
44,253.4399872,41.51638794,22.07999992,18.43933296,81.29750061,6.754860878,53.01699829,37.06332397,15.21630859,168.9507446,46.0308075,25.40743065,31.79373741,57.54249954,105.0793762,34.15715408,07/03/2019
45,252.9331207,41.61506271,22.01000023,18.94266701,81.04000092,6.707068443,52.62449265,37.40597153,15.23665524,169.4202423,45.92579269,25.49642181,31.48783875,57.49850082,105.1936264,33.98805618,08/03/2019
46,256.6009216,43.05670547,22.95999908,19.39466667,83.53099823,6.85841465,53.06486511,40.01327515,15.36888599,171.8876343,46.68714905,25.75450134,31.6259861,58.96300125,107.4020309,34.86022568,11/03/2019
47,257.568573,43.54045868,23.48999977,18.89066696,83.65499878,6.826554298,52.90211487,40.35595322,15.57739353,171.7377777,46.87967682,25.75450134,30.51093483,59.86249924,108.1540146,35.14502335,12/03/2019
48,259.2734985,43.73300552,23.37999916,19.26399994,84.54049683,6.794690609,53.69670486,41.87067032,15.39939594,173.1862488,47.57976151,26.06597328,31.41876411,59.95299911,108.9916687,35.20732117,13/03/2019
49,259.1075439,44.21916962,22.81999969,19.3306675,84.31099701,6.699102402,54.02219772,41.11082458,15.39939594,169.9896393,46.76590347,26.21726418,31.70492935,59.62649918,109.0773468,35.48321152,14/03/2019
50,260.3877869,44.79438019,23.29000092,18.36199951,85.61799622,6.715034962,54.19451523,42.16616058,15.59773636,165.8040771,47.54475784,26.07486916,31.01419067,59.51499939,110.3338623,36.01720047,15/03/2019
51,261.3317871,45.25166321,23.25,17.9659996,87.10749817,6.826554298,54.90293503,41.95261383,15.66385269,160.2999268,47.34348297,26.5376358,30.96484756,59.42750168,111.9139786,35.52770615,18/03/2019
52,261.396637,44.89305496,26,17.83133316,88.09249878,6.930105686,54.68275452,43.63121033,15.60282135,161.3987579,47.40473175,26.38634872,31.17207527,60.1230011,111.9901352,35.40312195,19/03/2019
53,260.6098938,45.28535461,25.70000076,18.23999977,89.8635025,6.778758526,54.11792755,43.30591583,15.51636791,165.2646484,47.09844971,25.48752022,30.5504055,61.32149887,111.8663864,35.1272316,20/03/2019
